"","count","i","original_article_doi","ping"
"1",259,"a15090321","https://doi.org/10.3390/a15090321",TRUE
"2",1779,"agronomy10040528","https://doi.org/10.3390/agronomy10040528",TRUE
"3",2200,"agronomy11061145","https://doi.org/10.3390/agronomy11061145",TRUE
"4",3213,"agronomy12102545","https://doi.org/10.3390/agronomy12102545",TRUE
"5",3307,"agronomy9020094","https://doi.org/10.3390/agronomy9020094",TRUE
"6",3618,"ani10040746","https://doi.org/10.3390/ani10040746",TRUE
"7",3813,"ani10091642","https://doi.org/10.3390/ani10091642",TRUE
"8",5698,"ani12212989","https://doi.org/10.3390/ani12212989",TRUE
"9",6704,"antibiotics11091155","https://doi.org/10.3390/antibiotics11091155",TRUE
"10",8203,"app10093220","https://doi.org/10.3390/app10093220",TRUE
"11",8235,"app10103393","https://doi.org/10.3390/app10103393",TRUE
"12",9909,"app11114745","https://doi.org/10.3390/app11114745",TRUE
"13",13184,"app12147328","https://doi.org/10.3390/app12147328",TRUE
"14",17400,"biology11040617","https://doi.org/10.3390/biology11040617",TRUE
"15",17894,"biom10040649","https://doi.org/10.3390/biom10040649",TRUE
"16",25679,"catal10080866","https://doi.org/10.3390/catal10080866",TRUE
"17",25686,"catal10080884","https://doi.org/10.3390/catal10080884",TRUE
"18",25765,"catal10121392","https://doi.org/10.3390/catal10121392",TRUE
"19",25776,"catal10121480","https://doi.org/10.3390/catal10121480",TRUE
"20",26697,"cells10051032","https://doi.org/10.3390/cells10051032",TRUE
"21",27102,"cells10123588","https://doi.org/10.3390/cells10123588",TRUE
"22",31596,"cryst12070951","https://doi.org/10.3390/cryst12070951",TRUE
"23",35980,"educsci12030158","https://doi.org/10.3390/educsci12030158",TRUE
"24",37928,"electronics8090947","https://doi.org/10.3390/electronics8090947",TRUE
"25",38156,"electronics9050763","https://doi.org/10.3390/electronics9050763",TRUE
"26",38834,"en14092643","https://doi.org/10.3390/en14092643",TRUE
"27",38961,"en14227617","https://doi.org/10.3390/en14227617",TRUE
"28",40205,"f13020211","https://doi.org/10.3390/f13020211",TRUE
"29",43298,"gels7040149","https://doi.org/10.3390/gels7040149",TRUE
"30",53166,"ijerph18179295","https://doi.org/10.3390/ijerph18179295",TRUE
"31",56787,"ijerph19148606","https://doi.org/10.3390/ijerph19148606",TRUE
"32",57156,"ijerph19159538","https://doi.org/10.3390/ijerph19159538",TRUE
"33",61426,"ijms21176232","https://doi.org/10.3390/ijms21176232",TRUE
"34",68493,"insects12110998","https://doi.org/10.3390/insects12110998",TRUE
"35",74157,"jmse10101554","https://doi.org/10.3390/jmse10101554",TRUE
"36",74527,"jmse9091016","https://doi.org/10.3390/jmse9091016",TRUE
"37",76603,"land10030313","https://doi.org/10.3390/land10030313",TRUE
"38",79186,"ma13071643","https://doi.org/10.3390/ma13071643",TRUE
"39",79298,"ma13112552","https://doi.org/10.3390/ma13112552",TRUE
"40",79934,"ma14040739","https://doi.org/10.3390/ma14040739",TRUE
"41",80430,"ma14143879","https://doi.org/10.3390/ma14143879",TRUE
"42",80817,"ma14216322","https://doi.org/10.3390/ma14216322",TRUE
"43",81052,"ma15010098","https://doi.org/10.3390/ma15010098",TRUE
"44",81198,"ma15031094","https://doi.org/10.3390/ma15031094",TRUE
"45",81877,"ma15124266","https://doi.org/10.3390/ma15124266",TRUE
"46",82180,"ma15165521","https://doi.org/10.3390/ma15165521",TRUE
"47",82466,"ma15196595","https://doi.org/10.3390/ma15196595",TRUE
"48",82476,"ma15196646","https://doi.org/10.3390/ma15196646",TRUE
"49",82583,"ma15197040","https://doi.org/10.3390/ma15197040",TRUE
"50",82764,"ma15217647","https://doi.org/10.3390/ma15217647",TRUE
"51",85076,"membranes11010001","https://doi.org/10.3390/membranes11010001",TRUE
"52",85094,"membranes11020135","https://doi.org/10.3390/membranes11020135",TRUE
"53",85748,"met10091183","https://doi.org/10.3390/met10091183",TRUE
"54",87790,"mi12050540","https://doi.org/10.3390/mi12050540",TRUE
"55",87870,"mi12091104","https://doi.org/10.3390/mi12091104",TRUE
"56",90094,"microorganisms9122555","https://doi.org/10.3390/microorganisms9122555",TRUE
"57",91453,"molecules24132501","https://doi.org/10.3390/molecules24132501",TRUE
"58",93517,"molecules26185463","https://doi.org/10.3390/molecules26185463",TRUE
"59",94217,"molecules27061843","https://doi.org/10.3390/molecules27061843",TRUE
"60",97418,"nano12213735","https://doi.org/10.3390/nano12213735",TRUE
"61",97588,"nano9040574","https://doi.org/10.3390/nano9040574",TRUE
"62",103806,"photonics9090599","https://doi.org/10.3390/photonics9090599",TRUE
"63",104233,"plants10102114","https://doi.org/10.3390/plants10102114",TRUE
"64",104416,"plants11030411","https://doi.org/10.3390/plants11030411",TRUE
"65",104958,"plants11182417","https://doi.org/10.3390/plants11182417",TRUE
"66",106426,"polym13081320","https://doi.org/10.3390/polym13081320",TRUE
"67",106439,"polym13091443","https://doi.org/10.3390/polym13091443",TRUE
"68",106473,"polym13111671","https://doi.org/10.3390/polym13111671",TRUE
"69",106506,"polym13111894","https://doi.org/10.3390/polym13111894",TRUE
"70",106697,"polym13193251","https://doi.org/10.3390/polym13193251",TRUE
"71",107427,"polym14132728","https://doi.org/10.3390/polym14132728",TRUE
"72",107502,"polym14153019","https://doi.org/10.3390/polym14153019",TRUE
"73",107569,"polym14163254","https://doi.org/10.3390/polym14163254",TRUE
"74",108552,"pr10102131","https://doi.org/10.3390/pr10102131",TRUE
"75",108566,"pr10112183","https://doi.org/10.3390/pr10112183",TRUE
"76",108901,"pr8111347","https://doi.org/10.3390/pr8111347",TRUE
"77",109614,"radiation1020014","https://doi.org/10.3390/radiation1020014",TRUE
"78",112979,"rs14132967","https://doi.org/10.3390/rs14132967",TRUE
"79",113635,"rs14205193","https://doi.org/10.3390/rs14205193",TRUE
"80",114727,"s20061784","https://doi.org/10.3390/s20061784",TRUE
"81",115767,"s21186161","https://doi.org/10.3390/s21186161",TRUE
"82",116167,"s22030924","https://doi.org/10.3390/s22030924",TRUE
"83",116534,"s22093119","https://doi.org/10.3390/s22093119",TRUE
"84",118024,"separations8090160","https://doi.org/10.3390/separations8090160",TRUE
"85",120066,"su12030898","https://doi.org/10.3390/su12030898",TRUE
"86",123584,"su132011537","https://doi.org/10.3390/su132011537",TRUE
"87",129177,"toxins13070469","https://doi.org/10.3390/toxins13070469",TRUE
"88",130137,"v12070761","https://doi.org/10.3390/v12070761",TRUE
"89",134466,"w13243586","https://doi.org/10.3390/w13243586",TRUE
"90",135375,"w14213440","https://doi.org/10.3390/w14213440",TRUE
