"","count","i","original_article_doi","ping"
"1",140,"a14080244","https://doi.org/10.3390/a14080244",TRUE
"2",4129,"ani11030821","https://doi.org/10.3390/ani11030821",TRUE
"3",5233,"ani12141774","https://doi.org/10.3390/ani12141774",TRUE
"4",6488,"antibiotics11050598","https://doi.org/10.3390/antibiotics11050598",TRUE
"5",8427,"app10134602","https://doi.org/10.3390/app10134602",TRUE
"6",8860,"app10217565","https://doi.org/10.3390/app10217565",TRUE
"7",9810,"app11094145","https://doi.org/10.3390/app11094145",TRUE
"8",10289,"app11156725","https://doi.org/10.3390/app11156725",TRUE
"9",10483,"app11167723","https://doi.org/10.3390/app11167723",TRUE
"10",13156,"app12147228","https://doi.org/10.3390/app12147228",TRUE
"11",13320,"app12157736","https://doi.org/10.3390/app12157736",TRUE
"12",13994,"app12199525","https://doi.org/10.3390/app12199525",TRUE
"13",16025,"atmos11121375","https://doi.org/10.3390/atmos11121375",TRUE
"14",18742,"biom9090503","https://doi.org/10.3390/biom9090503",TRUE
"15",21758,"buildings12091457","https://doi.org/10.3390/buildings12091457",TRUE
"16",25919,"catal11070816","https://doi.org/10.3390/catal11070816",TRUE
"17",25971,"catal11101138","https://doi.org/10.3390/catal11101138",TRUE
"18",29799,"cli7020026","https://doi.org/10.3390/cli7020026",TRUE
"19",31573,"cryst12050640","https://doi.org/10.3390/cryst12050640",TRUE
"20",31655,"cryst8120452","https://doi.org/10.3390/cryst8120452",TRUE
"21",34421,"e22020129","https://doi.org/10.3390/e22020129",TRUE
"22",36270,"electronics10010083","https://doi.org/10.3390/electronics10010083",TRUE
"23",36566,"electronics10162036","https://doi.org/10.3390/electronics10162036",TRUE
"24",36913,"electronics11071017","https://doi.org/10.3390/electronics11071017",TRUE
"25",41473,"fishes7050235","https://doi.org/10.3390/fishes7050235",TRUE
"26",42064,"foods11030449","https://doi.org/10.3390/foods11030449",TRUE
"27",44259,"genes13010082","https://doi.org/10.3390/genes13010082",TRUE
"28",51350,"ijerph18041766","https://doi.org/10.3390/ijerph18041766",TRUE
"29",54517,"ijerph19031659","https://doi.org/10.3390/ijerph19031659",TRUE
"30",54826,"ijerph19052872","https://doi.org/10.3390/ijerph19052872",TRUE
"31",57440,"ijerph19169793","https://doi.org/10.3390/ijerph19169793",TRUE
"32",58763,"ijerph192013563","https://doi.org/10.3390/ijerph192013563",TRUE
"33",66899,"ijms232012187","https://doi.org/10.3390/ijms232012187",TRUE
"34",67896,"infrastructures5020021","https://doi.org/10.3390/infrastructures5020021",TRUE
"35",78565,"ma12091420","https://doi.org/10.3390/ma12091420",TRUE
"36",79456,"ma13173777","https://doi.org/10.3390/ma13173777",TRUE
"37",80616,"ma14174991","https://doi.org/10.3390/ma14174991",TRUE
"38",81691,"ma15103453","https://doi.org/10.3390/ma15103453",TRUE
"39",82373,"ma15186204","https://doi.org/10.3390/ma15186204",TRUE
"40",86870,"met9101085","https://doi.org/10.3390/met9101085",TRUE
"41",87038,"metabo11060352","https://doi.org/10.3390/metabo11060352",TRUE
"42",88674,"microorganisms10040749","https://doi.org/10.3390/microorganisms10040749",TRUE
"43",90704,"min12101209","https://doi.org/10.3390/min12101209",TRUE
"44",92472,"molecules25204681","https://doi.org/10.3390/molecules25204681",TRUE
"45",92592,"molecules25235530","https://doi.org/10.3390/molecules25235530",TRUE
"46",94087,"molecules27031133","https://doi.org/10.3390/molecules27031133",TRUE
"47",94513,"molecules27103069","https://doi.org/10.3390/molecules27103069",TRUE
"48",96090,"nano10081546","https://doi.org/10.3390/nano10081546",TRUE
"49",102115,"ph15030376","https://doi.org/10.3390/ph15030376",TRUE
"50",102552,"pharmaceutics13020210","https://doi.org/10.3390/pharmaceutics13020210",TRUE
"51",102912,"pharmaceutics14020468","https://doi.org/10.3390/pharmaceutics14020468",TRUE
"52",103651,"photonics8080291","https://doi.org/10.3390/photonics8080291",TRUE
"53",104717,"plants11131666","https://doi.org/10.3390/plants11131666",TRUE
"54",105627,"polym11030528","https://doi.org/10.3390/polym11030528",TRUE
"55",106173,"polym12112489","https://doi.org/10.3390/polym12112489",TRUE
"56",106879,"polym14010071","https://doi.org/10.3390/polym14010071",TRUE
"57",108515,"pr10101963","https://doi.org/10.3390/pr10101963",TRUE
"58",109032,"pr9030522","https://doi.org/10.3390/pr9030522",TRUE
"59",109248,"pr9091624","https://doi.org/10.3390/pr9091624",TRUE
"60",111787,"rs13081541","https://doi.org/10.3390/rs13081541",TRUE
"61",114279,"s19132975","https://doi.org/10.3390/s19132975",TRUE
"62",115268,"s21041156","https://doi.org/10.3390/s21041156",TRUE
"63",122572,"su13115930","https://doi.org/10.3390/su13115930",TRUE
"64",123985,"su132413754","https://doi.org/10.3390/su132413754",TRUE
"65",125503,"su14106035","https://doi.org/10.3390/su14106035",TRUE
"66",128162,"su142114359","https://doi.org/10.3390/su142114359",TRUE
"67",131454,"vaccines10071152","https://doi.org/10.3390/vaccines10071152",TRUE
"68",133495,"w12082254","https://doi.org/10.3390/w12082254",TRUE
"69",133989,"w13101372","https://doi.org/10.3390/w13101372",TRUE
"70",134364,"w13213115","https://doi.org/10.3390/w13213115",TRUE
